VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_TEXCOORD0.x, in_TEXCOORD0.y
0, 0, -0.08908, -0.03662, -0.16468,  0.81295,  0.11566
1, 1, -0.10311, -0.03691, -0.16727,  0.80825,  0.13441
2, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
3, 0, -0.08908, -0.03662, -0.16468,  0.81295,  0.11566
4, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
5, 3, -0.08172, -0.01496, -0.13832,  0.77234,  0.08722
6, 3, -0.08172, -0.01496, -0.13832,  0.77234,  0.08722
7, 4, -0.07076, -0.02962, -0.15551,  0.80805,  0.08611
8, 0, -0.08908, -0.03662, -0.16468,  0.81295,  0.11566
9, 5, -0.05798, -0.01838, -0.14238,  0.79327,  0.06032
10, 4, -0.07076, -0.02962, -0.15551,  0.80805,  0.08611
11, 3, -0.08172, -0.01496, -0.13832,  0.77234,  0.08722
12, 3, -0.08172, -0.01496, -0.13832,  0.77234,  0.08722
13, 6, -0.06353, -0.0085, -0.12665,  0.76621,  0.05627
14, 5, -0.05798, -0.01838, -0.14238,  0.79327,  0.06032
15, 7, -0.06626,  0.00725, -0.11368,  0.73792,  0.04653
16, 6, -0.06353, -0.0085, -0.12665,  0.76621,  0.05627
17, 3, -0.08172, -0.01496, -0.13832,  0.77234,  0.08722
18, 3, -0.08172, -0.01496, -0.13832,  0.77234,  0.08722
19, 8, -0.08937,  0.0036, -0.12002,  0.73352,  0.08348
20, 7, -0.06626,  0.00725, -0.11368,  0.73792,  0.04653
21, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
22, 8, -0.08937,  0.0036, -0.12002,  0.73352,  0.08348
23, 3, -0.08172, -0.01496, -0.13832,  0.77234,  0.08722
24, 9, -0.11253, -0.00822, -0.13743,  0.74925,  0.12584
25, 8, -0.08937,  0.0036, -0.12002,  0.73352,  0.08348
26, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
27, 9, -0.11253, -0.00822, -0.13743,  0.74925,  0.12584
28, 10, -0.12318,  0.00354, -0.12761,  0.72398,  0.13438
29, 8, -0.08937,  0.0036, -0.12002,  0.73352,  0.08348
30, 10, -0.12318,  0.00354, -0.12761,  0.72398,  0.13438
31, 9, -0.11253, -0.00822, -0.13743,  0.74925,  0.12584
32, 11, -0.13028, -0.00858, -0.14313,  0.7478,  0.15251
33, 0, -0.08908, -0.03662, -0.16468,  0.81295,  0.11566
34, 4, -0.07076, -0.02962, -0.15551,  0.80805,  0.08611
35, 12, -0.06861, -0.0369, -0.15133,  0.81909,  0.08141
36, 13, -0.08627, -0.04314, -0.15997,  0.82427,  0.11189
37, 0, -0.08908, -0.03662, -0.16468,  0.81295,  0.11566
38, 12, -0.06861, -0.0369, -0.15133,  0.81909,  0.08141
39, 11, -0.13028, -0.00858, -0.14313,  0.7478,  0.15251
40, 9, -0.11253, -0.00822, -0.13743,  0.74925,  0.12584
41, 14, -0.13047, -0.01813, -0.15478,  0.76717,  0.1589
42, 9, -0.11253, -0.00822, -0.13743,  0.74925,  0.12584
43, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
44, 14, -0.13047, -0.01813, -0.15478,  0.76717,  0.1589
45, 14, -0.13047, -0.01813, -0.15478,  0.76717,  0.1589
46, 15, -0.1341, -0.02261, -0.14835,  0.76303,  0.1699
47, 11, -0.13028, -0.00858, -0.14313,  0.7478,  0.15251
48, 16, -0.13013, -0.03195, -0.15635,  0.78416,  0.17064
49, 15, -0.1341, -0.02261, -0.14835,  0.76303,  0.1699
50, 14, -0.13047, -0.01813, -0.15478,  0.76717,  0.1589
51, 14, -0.13047, -0.01813, -0.15478,  0.76717,  0.1589
52, 17, -0.12573, -0.02733, -0.16299,  0.78473,  0.15809
53, 16, -0.13013, -0.03195, -0.15635,  0.78416,  0.17064
54, 17, -0.12573, -0.02733, -0.16299,  0.78473,  0.15809
55, 14, -0.13047, -0.01813, -0.15478,  0.76717,  0.1589
56, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
57, 18, -0.11861, -0.03268, -0.1662,  0.79553,  0.15185
58, 16, -0.13013, -0.03195, -0.15635,  0.78416,  0.17064
59, 17, -0.12573, -0.02733, -0.16299,  0.78473,  0.15809
60, 16, -0.13013, -0.03195, -0.15635,  0.78416,  0.17064
61, 18, -0.11861, -0.03268, -0.1662,  0.79553,  0.15185
62, 19, -0.11998, -0.03985, -0.16056,  0.80473,  0.16136
63, 19, -0.11998, -0.03985, -0.16056,  0.80473,  0.16136
64, 18, -0.11861, -0.03268, -0.1662,  0.79553,  0.15185
65, 1, -0.10311, -0.03691, -0.16727,  0.80825,  0.13441
66, 1, -0.10311, -0.03691, -0.16727,  0.80825,  0.13441
67, 20, -0.10154, -0.04388, -0.16252,  0.82017,  0.13593
68, 19, -0.11998, -0.03985, -0.16056,  0.80473,  0.16136
69, 15, -0.1341, -0.02261, -0.14835,  0.76303,  0.1699
70, 21, -0.13474, -0.01343, -0.13885,  0.74392,  0.16282
71, 11, -0.13028, -0.00858, -0.14313,  0.7478,  0.15251
72, 10, -0.12318,  0.00354, -0.12761,  0.72398,  0.13438
73, 11, -0.13028, -0.00858, -0.14313,  0.7478,  0.15251
74, 21, -0.13474, -0.01343, -0.13885,  0.74392,  0.16282
75, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
76, 18, -0.11861, -0.03268, -0.1662,  0.79553,  0.15185
77, 17, -0.12573, -0.02733, -0.16299,  0.78473,  0.15809
78, 2, -0.10216, -0.02136, -0.15054,  0.77867,  0.12092
79, 1, -0.10311, -0.03691, -0.16727,  0.80825,  0.13441
80, 18, -0.11861, -0.03268, -0.1662,  0.79553,  0.15185
81, 0, -0.08908, -0.03662, -0.16468,  0.81295,  0.11566
82, 20, -0.10154, -0.04388, -0.16252,  0.82017,  0.13593
83, 1, -0.10311, -0.03691, -0.16727,  0.80825,  0.13441
84, 20, -0.10154, -0.04388, -0.16252,  0.82017,  0.13593
85, 0, -0.08908, -0.03662, -0.16468,  0.81295,  0.11566
86, 13, -0.08627, -0.04314, -0.15997,  0.82427,  0.11189
87, 21, -0.13474, -0.01343, -0.13885,  0.74392,  0.16282
88, 22, -0.12739, -0.00133, -0.12403,  0.71995,  0.14446
89, 10, -0.12318,  0.00354, -0.12761,  0.72398,  0.13438
90, 12, -0.06861, -0.0369, -0.15133,  0.81909,  0.08141
91, 4, -0.07076, -0.02962, -0.15551,  0.80805,  0.08611
92, 23, -0.05493, -0.02734, -0.13887,  0.80589,  0.05357
93, 4, -0.07076, -0.02962, -0.15551,  0.80805,  0.08611
94, 5, -0.05798, -0.01838, -0.14238,  0.79327,  0.06032
95, 23, -0.05493, -0.02734, -0.13887,  0.80589,  0.05357
96, 23, -0.05493, -0.02734, -0.13887,  0.80589,  0.05357
97, 5, -0.05798, -0.01838, -0.14238,  0.79327,  0.06032
98, 24, -0.04719, -0.01493, -0.12221,  0.7844,  0.02917
99, 5, -0.05798, -0.01838, -0.14238,  0.79327,  0.06032
100, 25, -0.05127, -0.00608, -0.12723,  0.77299,  0.03994
101, 24, -0.04719, -0.01493, -0.12221,  0.7844,  0.02917
102, 26, -0.04318, -0.00444, -0.11074,  0.76605,  0.0151
103, 24, -0.04719, -0.01493, -0.12221,  0.7844,  0.02917
104, 25, -0.05127, -0.00608, -0.12723,  0.77299,  0.03994
105, 25, -0.05127, -0.00608, -0.12723,  0.77299,  0.03994
106, 27, -0.04697,  0.00232, -0.11602,  0.75794,  0.0257
107, 26, -0.04318, -0.00444, -0.11074,  0.76605,  0.0151
108, 6, -0.06353, -0.0085, -0.12665,  0.76621,  0.05627
109, 27, -0.04697,  0.00232, -0.11602,  0.75794,  0.0257
110, 25, -0.05127, -0.00608, -0.12723,  0.77299,  0.03994
111, 6, -0.06353, -0.0085, -0.12665,  0.76621,  0.05627
112, 25, -0.05127, -0.00608, -0.12723,  0.77299,  0.03994
113, 5, -0.05798, -0.01838, -0.14238,  0.79327,  0.06032
114, 26, -0.04318, -0.00444, -0.11074,  0.76605,  0.0151
115, 27, -0.04697,  0.00232, -0.11602,  0.75794,  0.0257
116, 28, -0.04125,  0.00689, -0.10017,  0.74727,  0.00341
117, 28, -0.04125,  0.00689, -0.10017,  0.74727,  0.00341
118, 27, -0.04697,  0.00232, -0.11602,  0.75794,  0.0257
119, 29, -0.04629,  0.01268, -0.10416,  0.73962,  0.01299
120, 27, -0.04697,  0.00232, -0.11602,  0.75794,  0.0257
121, 7, -0.06626,  0.00725, -0.11368,  0.73792,  0.04653
122, 29, -0.04629,  0.01268, -0.10416,  0.73962,  0.01299
123, 6, -0.06353, -0.0085, -0.12665,  0.76621,  0.05627
124, 7, -0.06626,  0.00725, -0.11368,  0.73792,  0.04653
125, 27, -0.04697,  0.00232, -0.11602,  0.75794,  0.0257
126, 30, -0.04719, -0.01493, -0.12221,  0.87927,  0.05668
127, 31, -0.04318, -0.00444, -0.11074,  0.90053,  0.03653
128, 32, -0.05082, -0.00829, -0.11175,  0.90096,  0.05257
129, 30, -0.04719, -0.01493, -0.12221,  0.87927,  0.05668
130, 32, -0.05082, -0.00829, -0.11175,  0.90096,  0.05257
131, 33, -0.06368, -0.02328, -0.11631,  0.89374,  0.07998
132, 32, -0.05082, -0.00829, -0.11175,  0.90096,  0.05257
133, 34, -0.06762, -0.00903, -0.10262,  0.92208,  0.07498
134, 33, -0.06368, -0.02328, -0.11631,  0.89374,  0.07998
135, 34, -0.06762, -0.00903, -0.10262,  0.92208,  0.07498
136, 32, -0.05082, -0.00829, -0.11175,  0.90096,  0.05257
137, 35, -0.05163,  0.00162, -0.0969,  0.92888,  0.0429
138, 32, -0.05082, -0.00829, -0.11175,  0.90096,  0.05257
139, 31, -0.04318, -0.00444, -0.11074,  0.90053,  0.03653
140, 35, -0.05163,  0.00162, -0.0969,  0.92888,  0.0429
141, 36, -0.08533, -0.02779, -0.123,  0.89767,  0.11456
142, 33, -0.06368, -0.02328, -0.11631,  0.89374,  0.07998
143, 34, -0.06762, -0.00903, -0.10262,  0.92208,  0.07498
144, 34, -0.06762, -0.00903, -0.10262,  0.92208,  0.07498
145, 37, -0.09585, -0.01244, -0.11032,  0.92824,  0.11738
146, 36, -0.08533, -0.02779, -0.123,  0.89767,  0.11456
147, 38, -0.10868, -0.03089, -0.13185,  0.90403,  0.15293
148, 36, -0.08533, -0.02779, -0.123,  0.89767,  0.11456
149, 37, -0.09585, -0.01244, -0.11032,  0.92824,  0.11738
